CITY,BASE,CLOUDS ALL,COD,LATITIUDE,LONGITIUDE,DT,ID,FEELS_LIKE,GRND_LEVEL,HUMIDITY,PRESSURE,SEA_LEVEL,TEMPERATURE,TEMP_MAX,TEMP_MIN,COUNTRY,SID,SUNRISE,SUNSET,TYPE,TIMEZONE,VISIBILITY,W_DESCRIPTION,W_ICON,W_ID,W_MAIN,DEG,GUST,SPEED
Chennai,stations,40,200,13.0878,80.2785,1672377792,1264527,309.16, ,74,1019, ,303.14,303.14,303.14,IN,9218,2022-12-30 06:30:12,2022-12-30 17:51:56,1,19800,5000,mist,50d,701,Mist,0, ,1.03
Puducherry,stations,40,200,11.9333,79.8167,1672377764,1259424,305.42, ,65,1020, ,302.37,302.37,302.37,IN,9224,2022-12-30 06:29:59,2022-12-30 17:55:51,1,19800,6000,scattered clouds,03d,802,Clouds,0, ,1.03
Cuddalore,stations,12,200,11.75,79.75,1672377737,1273802,307.16,1018,74,1019,1019,302.36,302.36,302.36,IN,9224,2022-12-30 06:29:56,2022-12-30 17:56:27,1,19800,10000,few clouds,02d,801,Clouds,59,2.52,2.29
Erode,stations,24,200,11.35,77.7333,1672377857,1272013,299.78,1000,64,1019,1019,299.78,299.78,299.78,IN, ,2022-12-30 06:37:17,2022-12-30 18:05:13, ,19800,10000,few clouds,02d,801,Clouds,46,2.15,1.79
Tirumala - Tirupati,stations,20,200,13.65,79.4167,1672377859,1254360,302.47, ,65,1019, ,300.72,300.72,300.72,IN,9219,2022-12-30 06:34:40,2022-12-30 17:54:22,1,19800,4000,haze,50d,721,Haze,220, ,2.06
Nellore,stations,0,200,14.4333,79.9667,1672377862,1261529,301.73,1016,62,1019,1019,300.41,300.41,300.41,IN, ,2022-12-30 06:33:53,2022-12-30 17:50:45, ,19800,10000,clear sky,01d,800,Clear,134,1.4,1.41
Mangalore,stations,0,200,12.8667,74.8833,1672377623,1263780,306.16, ,48,1018, ,304.63,304.63,304.63,IN,9217,2022-12-30 06:51:24,2022-12-30 18:13:55,1,19800,10000,clear sky,01d,800,Clear,90, ,2.57
Salem,stations,20,200,11.65,78.1667,1672377720,1257629,301.45, ,61,1020, ,300.26,300.26,300.26,IN,9223,2022-12-30 06:36:05,2022-12-30 18:02:57,1,19800,5000,haze,50d,721,Haze,70, ,1.03
Kochi,stations,83,200,9.9399,76.2602,1672377572,1273874,305.96,1016,60,1017,1017,303.14,303.14,303.14,IN,9211,2022-12-30 06:40:41,2022-12-30 18:13:36,1,19800,10000,broken clouds,04d,803,Clouds,63,1.51,1.05
Bengaluru,stations,20,200,12.9762,77.6033,1672377675,1277333,298, ,66,1024, ,297.76,297.95,297.05,IN,9205,2022-12-30 06:40:42,2022-12-30 18:02:50,1,19800,8000,few clouds,02d,801,Clouds,90, ,3.09
Vellore,stations,3,200,12.9333,79.1333,1672377748,1253286,301.11,995,64,1019,1019,299.85,299.85,299.85,IN, ,2022-12-30 06:34:31,2022-12-30 17:56:48, ,19800,10000,clear sky,01d,800,Clear,129,1.31,0.82
Alappuzha,stations,85,200,9.49,76.3264,1672377733,1278985,302.07,1016,63,1017,1017,300.58,300.58,300.58,IN, ,2022-12-30 06:39:38,2022-12-30 18:14:08, ,19800,10000,overcast clouds,04d,804,Clouds,75,1.56,1.09
New Delhi,stations,40,200,28.6128,77.2311,1672377821,1261481,289.75, ,67,1020, ,290.24,290.24,290.24,IN,9165,2022-12-30 07:13:05,2022-12-30 17:33:27,1,19800,1000,smoke,50d,711,Smoke,100, ,3.6
Port Blair,stations,40,200,11.6667,92.75,1672377869,1259385,304.37, ,61,1016, ,302.17,302.17,302.17,IN,9215,2022-12-30 05:37:46,2022-12-30 17:04:34,1,19800,6000,scattered clouds,03d,802,Clouds,20, ,5.14
Darjeeling,stations,21,200,27.0333,88.2667,1672377873,1273467,281.09,794,49,1021,1021,282.26,282.26,282.26,IN, ,2022-12-30 06:25:27,2022-12-30 16:52:45, ,19800,10000,few clouds,02d,801,Clouds,143,1.68,2.27
Kohima,stations,4,200,25.6667,94.1167,1672377874,1266366,280.58,874,39,1019,1019,280.58,280.58,280.58,IN,9125,2022-12-30 05:59:08,2022-12-30 16:32:16,1,19800,10000,clear sky,01d,800,Clear,360,2.64,0.82
Gangtok,stations,93,200,27.3333,88.6167,1672377875,1271631,282.31,835,67,1022,1022,283.47,283.47,283.47,IN, ,2022-12-30 06:24:43,2022-12-30 16:50:42, ,19800,10000,overcast clouds,04d,804,Clouds,220,1.71,2.03
Nagapattinam,stations,23,200,10.7667,79.8333,1672377876,1262260,302.41,1019,68,1019,1019,300.5,300.5,300.5,IN, ,2022-12-30 06:27:51,2022-12-30 17:57:51, ,19800,10000,few clouds,02d,801,Clouds,56,4.43,3.75
Kumbakonam,stations,41,200,10.9667,79.3833,1672377877,1265683,302.45,1015,67,1019,1019,300.58,300.58,300.58,IN, ,2022-12-30 06:30:00,2022-12-30 17:59:18, ,19800,10000,scattered clouds,03d,802,Clouds,48,3.73,2.86
Shillong,stations,4,200,25.5689,91.8831,1672377717,1256523,284.96, ,55,1021, ,286.17,286.17,286.17,IN,9111,2022-12-30 06:07:51,2022-12-30 16:41:25,1,19800,6000,clear sky,01d,800,Clear,140, ,5.14
